rank,feature,mean_abs_shap
306,cnn_embedding_269,0.009173322301887766
307,cnn_embedding_1105,0.009173164599765471
308,cnn_embedding_145,0.009172387972623142
309,cnn_embedding_006,0.00917016012991212
310,cnn_embedding_1407,0.009168239735606676
311,cnn_embedding_1743,0.009139420738144822
312,cnn_embedding_110,0.00912129792133456
313,cnn_embedding_789,0.009115833447057752
314,cnn_embedding_1589,0.009112227911236915
315,cnn_embedding_819,0.009109139987441495
316,cnn_embedding_416,0.009098887009160705
317,cnn_embedding_1571,0.00906372503396824
318,cnn_embedding_1679,0.009060622702289578
319,cnn_embedding_1998,0.00904704808969825
320,cnn_embedding_000,0.009042465456221293
321,cnn_embedding_802,0.009025626384976703
322,cnn_embedding_1434,0.009011155205621435
323,cnn_embedding_565,0.00896888830013438
324,cnn_embedding_1862,0.00896368015110056
325,cnn_embedding_1576,0.008941940430024432
326,cnn_embedding_1785,0.008913638423885572
327,cnn_embedding_461,0.00889219408107067
328,cnn_embedding_323,0.00889180696469225
329,cnn_embedding_190,0.00885428527577119
330,cnn_embedding_270,0.008834051119345076
331,cnn_embedding_1746,0.00882564436053066
332,cnn_embedding_1964,0.008815400710207654
333,cnn_embedding_1417,0.008803650156471577
334,cnn_embedding_211,0.00879910698604931
335,cnn_embedding_1309,0.008737239572251098
336,cnn_embedding_1856,0.008700688733328698
337,cnn_embedding_771,0.00868864896940238
338,cnn_embedding_1757,0.00867266125840871
339,cnn_embedding_1598,0.008660284109014071
340,cnn_embedding_223,0.008639801391535506
341,cnn_embedding_1359,0.00863155302071803
342,cnn_embedding_2031,0.008627916721500383
343,cnn_embedding_1829,0.008611052851739487
344,cnn_embedding_1912,0.00861042205026905
345,cnn_embedding_1898,0.008595526687074084
346,cnn_embedding_183,0.008580743378160704
347,cnn_embedding_1866,0.008577600519657835
348,cnn_embedding_549,0.008575152797237705
349,cnn_embedding_1209,0.008538092849659052
350,cnn_embedding_835,0.008518879820364589
351,cnn_embedding_188,0.008495904187681447
352,cnn_embedding_1848,0.008489291265254906
353,cnn_embedding_703,0.00848254233908392
354,cnn_embedding_1296,0.008482185751923587
355,cnn_embedding_909,0.008477415306199276
356,cnn_embedding_226,0.008439482988873693
357,cnn_embedding_818,0.008438625529971943
358,cnn_embedding_306,0.008427024418245565
359,cnn_embedding_940,0.008404086236263453
360,cnn_embedding_1038,0.008401398217705492
361,cnn_embedding_545,0.008397827011274117
362,cnn_embedding_971,0.008382791828454828
363,cnn_embedding_568,0.0083583791802468
364,cnn_embedding_1784,0.008341233757457189
365,cnn_embedding_1769,0.008340833579651274
366,cnn_embedding_019,0.008331224558109796
367,cnn_embedding_1649,0.008329197402563437
368,cnn_embedding_1714,0.008328175660064474
369,cnn_embedding_604,0.008304485503731484
370,cnn_embedding_138,0.00830305635571591
371,cnn_embedding_278,0.00826675119140532
372,cnn_embedding_434,0.008257428970648562
373,cnn_embedding_201,0.00824043356799109
374,cnn_embedding_1795,0.008238395678363375
375,cnn_embedding_1028,0.008215011960055562
376,cnn_embedding_1839,0.008191449857460498
377,cnn_embedding_1276,0.008188419630844379
378,cnn_embedding_1362,0.008164515554005903
379,cnn_embedding_606,0.008158359479469367
380,cnn_embedding_139,0.008151138321962037
381,cnn_embedding_067,0.008143619542069925
382,cnn_embedding_298,0.008138786617010396
383,cnn_embedding_453,0.008096532932657396
384,cnn_embedding_1097,0.008080957939063183
385,cnn_embedding_560,0.008058201361151518
386,cnn_embedding_559,0.008051381623700138
387,cnn_embedding_1963,0.00805111039303057
388,cnn_embedding_1443,0.008050838982079967
389,cnn_embedding_1163,0.008038181641029495
390,cnn_embedding_027,0.008005465671188006
391,cnn_embedding_1160,0.00797530404767528
392,cnn_embedding_1477,0.007955913926641144
393,cnn_embedding_1238,0.007947790164839574
394,cnn_embedding_2012,0.007945433683660496
395,cnn_embedding_1046,0.007944238827735716
396,cnn_embedding_902,0.007942716450173037
397,cnn_embedding_822,0.007932861674660785
398,cnn_embedding_274,0.007915875555769248
399,cnn_embedding_1054,0.007900190728463975
400,cnn_embedding_580,0.007887959839898429
401,cnn_embedding_1932,0.007860285091713238
402,cnn_embedding_302,0.007851178006413306
403,cnn_embedding_1424,0.007840197293931794
404,cnn_embedding_993,0.007825725283809249
405,cnn_embedding_1761,0.0078022290400923565
406,cnn_embedding_1882,0.00780047224709719
407,cnn_embedding_948,0.007795810328780561
408,cnn_embedding_1864,0.007791526721305076
409,cnn_embedding_514,0.007785088144251518
410,cnn_embedding_864,0.007780852179011077
411,cnn_embedding_399,0.007748149439153451
412,cnn_embedding_1781,0.0077308226275462745
413,cnn_embedding_366,0.007730066233248322
414,cnn_embedding_883,0.007725115639759928
415,cnn_embedding_051,0.007711717902395776
416,cnn_embedding_2001,0.007710660708719885
417,cnn_embedding_1021,0.007704156758993719
418,cnn_embedding_1651,0.007697085576660356
419,cnn_embedding_371,0.007677940137186567
420,cnn_embedding_1229,0.007663141397217643
421,cnn_embedding_206,0.007626805536247972
422,cnn_embedding_1652,0.00760560858406194
423,cnn_embedding_1843,0.007572495483542241
424,cnn_embedding_1911,0.007569695082721317
425,cnn_embedding_828,0.007565098717390128
426,cnn_embedding_028,0.007563266489738751
427,cnn_embedding_443,0.007553992885612359
428,cnn_embedding_1551,0.00754647025236892
429,cnn_embedding_1586,0.007530988640181135
430,cnn_embedding_725,0.007512942440624215
431,cnn_embedding_1418,0.007512773812121054
432,cnn_embedding_502,0.007506334285734084
433,cnn_embedding_126,0.007504746307192533
434,cnn_embedding_490,0.007489047493754697
435,cnn_embedding_1022,0.007488343557538002
436,cnn_embedding_1953,0.007485554861965227
437,cnn_embedding_647,0.007483328292570946
438,cnn_embedding_382,0.007479974305011794
439,cnn_embedding_1950,0.007476355676432789
440,cnn_embedding_1472,0.007469899158508042
441,cnn_embedding_1975,0.007427311749327714
442,cnn_embedding_1543,0.007423439233728191
443,cnn_embedding_389,0.007394164390069946
444,cnn_embedding_448,0.007377663023015657
445,cnn_embedding_1093,0.0073764887319498484
446,cnn_embedding_672,0.007372429285693727
447,cnn_embedding_779,0.007344757905867283
448,cnn_embedding_774,0.007343570862587967
449,cnn_embedding_987,0.007341496046070972
450,cnn_embedding_637,0.0073410338123864
451,cnn_embedding_481,0.007336855169434031
452,cnn_embedding_663,0.007330625546445901
453,cnn_embedding_330,0.007316524926670809
454,cnn_embedding_707,0.007308662666597243
455,cnn_embedding_859,0.007301033583330252
456,cnn_embedding_947,0.007299990748965613
457,cnn_embedding_1704,0.007294446555482637
458,cnn_embedding_287,0.0072866816560074096
459,cnn_embedding_882,0.00727864636899227
460,cnn_embedding_1278,0.0072757282005675
461,cnn_embedding_1827,0.007274353732987215
462,cnn_embedding_1966,0.007268055237394133
463,cnn_embedding_996,0.007264161634353883
464,cnn_embedding_053,0.007251666273571722
465,cnn_embedding_1941,0.007231115131697319
466,cnn_embedding_266,0.00722741721743736
467,cnn_embedding_457,0.007204593128936665
468,cnn_embedding_1874,0.007197249420414132
469,cnn_embedding_086,0.007179589776580997
470,cnn_embedding_1357,0.007172373719473058
471,cnn_embedding_691,0.007165454949496564
472,cnn_embedding_1669,0.007158743091054021
473,cnn_embedding_1899,0.0071368780871885916
474,cnn_embedding_077,0.007135233427663224
475,cnn_embedding_455,0.00711152259607053
476,cnn_embedding_1857,0.007098180352896577
477,cnn_embedding_2045,0.0070886068069441425
478,cnn_embedding_1277,0.007074958957971234
479,cnn_embedding_1798,0.007071969925001298
480,cnn_embedding_612,0.007070251371311542
