rank,feature,mean_abs_shap
122,cnn_embedding_1146,0.0058077503763342975
123,cnn_embedding_004,0.005804057046901789
124,cnn_embedding_168,0.005802494912728662
125,cnn_embedding_1154,0.005791026512895314
126,cnn_embedding_1808,0.005788159926908065
127,cnn_embedding_1438,0.005741565797123371
128,cnn_embedding_1586,0.005737973667862661
129,cnn_embedding_259,0.005658226234942276
130,cnn_embedding_1111,0.005654097177540507
131,cnn_embedding_519,0.005623747287302194
132,cnn_embedding_1827,0.005616490379537709
133,cnn_embedding_1947,0.005584713020482468
134,cnn_embedding_1369,0.005581814670762242
135,cnn_embedding_1905,0.005570417002374484
136,cnn_embedding_657,0.005559694207313726
137,cnn_embedding_1316,0.005547574422251955
138,cnn_embedding_1350,0.005533824805965537
139,cnn_embedding_000,0.005521805060539009
140,cnn_embedding_482,0.005520682637552454
141,cnn_embedding_568,0.0055002695198425045
142,cnn_embedding_909,0.005488870867182527
143,cnn_embedding_1520,0.005485058885412286
144,cnn_embedding_594,0.0054800481337764495
145,cnn_embedding_1832,0.005472550743405691
146,cnn_embedding_1419,0.005470521715778887
147,cnn_embedding_206,0.005460638056831613
148,cnn_embedding_453,0.005452279295525386
149,cnn_embedding_2003,0.0054428598400591
150,ocr_word_count,0.005440410190757916
151,cnn_embedding_1302,0.005432007811464246
152,cnn_embedding_689,0.005419031370990979
153,cnn_embedding_1297,0.005415365262734895
154,cnn_embedding_643,0.005399374397200063
155,cnn_embedding_818,0.00537990245624087
156,cnn_embedding_713,0.005318640759995219
157,cnn_embedding_1483,0.005316077271963593
158,cnn_embedding_770,0.005305986568203025
159,cnn_embedding_1289,0.005301878179995612
160,cnn_embedding_1367,0.00530066022535447
161,cnn_embedding_1192,0.005297793920561844
162,cnn_embedding_166,0.005236440742152126
163,cnn_embedding_864,0.005199645209586379
164,cnn_embedding_458,0.005161152685840165
165,cnn_embedding_1568,0.005157778109143862
166,cnn_embedding_549,0.005136291323282194
167,cnn_embedding_1729,0.005123823892624557
168,cnn_embedding_1432,0.00512276100457143
169,cnn_embedding_1557,0.005118518228414359
170,cnn_embedding_1495,0.005104493327433346
171,cnn_embedding_1002,0.0050879075511147676
172,cnn_embedding_199,0.005081583668086864
173,cnn_embedding_596,0.00507327238521782
174,cnn_embedding_1283,0.0050362440458897595
175,cnn_embedding_1000,0.005034485732593907
176,cnn_embedding_749,0.004984832753009982
177,cnn_embedding_461,0.004963848522010039
178,cnn_embedding_1429,0.004959545018675016
179,cnn_embedding_1646,0.004959276739185725
180,cnn_embedding_1613,0.004908817785562292
181,cnn_embedding_793,0.004894401427975481
182,cnn_embedding_1004,0.0048798482654888176
183,cnn_embedding_1842,0.0048713687111785475
184,cnn_embedding_686,0.004867322893154835
185,cnn_embedding_556,0.0048663134287778576
186,cnn_embedding_1611,0.004825866272085477
187,cnn_embedding_513,0.004818213999101317
188,cnn_embedding_1116,0.004791304582706601
189,cnn_embedding_391,0.004781762767990472
190,cnn_embedding_1028,0.004780755499268707
191,cnn_embedding_640,0.004772606728081996
192,cnn_embedding_659,0.004761885252975162
