Id,num_faces,largest_face_area_ratio,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral,emotion_unknown
LqfJJ60JcKo,0,0.0,0,0,0,1,0,0,0,0
bf7q8lWEd-o,0,0.0,0,0,1,0,0,0,0,0
9tbxDgcv74c,0,0.0,0,0,0,1,0,0,0,0
2fAv4kWLp8w,2,0.0014437264082107504,1,0,0,0,0,0,0,0
V_Kr9OSfDeU,0,0.0,0,0,0,1,0,0,0,0
3kUUgQ0AjZc,1,0.0005766045734263672,0,0,1,0,0,0,0,0
RY_rbooeMcI,0,0.0,1,0,0,0,0,0,0,0
kYB8IZa5AuE,0,0.0,0,0,0,0,0,0,1,0
eQyriT0j36g,0,0.0,0,0,0,0,0,0,1,0
yIfrEMhtu2o,1,0.007280905239644603,0,0,0,0,0,0,1,0
uw-VK2URZZQ,3,0.12556228947694004,0,0,0,1,0,0,0,0
If2rE7Sagyw,2,0.02485505201708343,0,0,0,0,1,0,0,0
XfkzEBmx9nc,2,0.053221171962913004,0,0,1,0,0,0,0,0
L6EwZWWRA-U,1,0.04840268390945968,0,0,1,0,0,0,0,0
NCPNTsKBZS0,0,0.0,1,0,0,0,0,0,0,0
ugwwFmp4bIA,0,0.0,1,0,0,0,0,0,0,0
fNcJuPIZ2WE,0,0.0,0,0,0,0,1,0,0,0
tafGL02EUOA,0,0.0,0,0,0,1,0,0,0,0
gwqEgvSkT_c,0,0.0,0,0,0,0,1,0,0,0
pl20NdwAs3k,0,0.0,1,0,0,0,0,0,0,0
t2X3wlvoShg,0,0.0,0,0,0,0,1,0,0,0
q1UytQTIECk,2,0.021651091157528602,1,0,0,0,0,0,0,0
nrB3HqVbB3o,0,0.0,0,0,0,0,0,0,1,0
dojhP_1W5tA,2,0.10339372482512085,1,0,0,0,0,0,0,0
r9cLluDKIhk,7,0.06487566311100737,0,0,0,1,0,0,0,0
vNaEBbFbvcY,0,0.0,0,0,1,0,0,0,0,0
O9gg0pz7rlc,1,0.07014909990735002,0,0,0,0,0,0,1,0
QynNpzqYt0Y,3,0.24554250497475322,0,0,1,0,0,0,0,0
wZsaXxtfuRg,0,0.0,0,0,0,0,0,0,1,0
Qh9KBwqGxTI,1,0.013284217663159426,0,0,0,0,1,0,0,0
rsXQInxxzBU,2,0.06392815323114014,0,0,0,0,1,0,0,0
vvXRcwcIJh4,2,0.37334064700829106,0,0,0,1,0,0,0,0
HeQX2HjkcNo,0,0.0,0,0,1,0,0,0,0,0
Qxn2b2LW6bQ,1,0.1684376211905889,0,0,0,0,1,0,0,0
PI4EszMsYy4,2,0.031308649690128934,0,0,0,0,0,1,0,0
GBUJ5O7zvKA,0,0.0,0,0,0,1,0,0,0,0
bTrV5v7GLcQ,4,0.010789208182561398,0,0,0,0,0,0,1,0
exqELqiqSmM,1,0.0007189885342409575,1,0,0,0,0,0,0,0
TJM-Qo0VZbs,2,0.1019983615169344,0,0,0,0,0,0,1,0
0xPwHR8_D2w,1,0.05485809006733537,1,0,0,0,0,0,0,0
NvaoIoULjrM,1,0.007612098680302147,0,0,0,1,0,0,0,0
8GNInLhL2zA,2,0.0904765761819605,0,0,1,0,0,0,0,0
scIizw2asro,1,0.19801006410287905,0,0,0,1,0,0,0,0
eS_rEzKdzBA,1,0.15434829014902182,0,0,0,0,0,0,1,0
maYuTnci4ys,0,0.0,0,0,0,1,0,0,0,0
wplX6t4S7p4,0,0.0,0,0,0,1,0,0,0,0
GViBkwbyd0Q,1,0.03774028688525694,0,0,0,0,0,0,1,0
C07Dfg18Oi4,0,0.0,0,0,1,0,0,0,0,0
iRngp25a8wM,2,0.026006950056240992,0,0,0,0,1,0,0,0
iN8zmmCRqUA,4,0.03448685634042906,0,0,0,0,1,0,0,0
0yqC4BYZWnM,1,0.06731940262504092,0,0,0,0,0,0,1,0
0w4OTD4L0GQ,1,0.007010202366503412,0,0,1,0,0,0,0,0
Cr_-xnWnEbk,5,0.0020703748741652817,0,0,0,0,1,0,0,0
XKH5Gd92k74,3,0.018143479987675164,1,0,0,0,0,0,0,0
Y8RigxxiilI,0,0.0,0,0,0,0,0,0,1,0
5HInaJxFxWs,2,0.0821805359718241,0,0,0,0,0,0,1,0
wgzmxJPting,3,0.0017663272490638822,0,0,0,0,1,0,0,0
4oqfodY2Lz0,0,0.0,0,0,1,0,0,0,0,0
ZLuxpDxhHYA,1,0.010373796849914166,0,0,0,0,1,0,0,0
GE2W93FBdo8,0,0.0,0,0,0,0,1,0,0,0
15V0gUXUPko,1,0.059000921845482834,0,0,1,0,0,0,0,0
Y54dfdonqgM,3,0.04815435450149784,0,0,0,1,0,0,0,0
ulCdoCfw-bY,0,0.0,0,0,0,0,1,0,0,0
L90DibXzunI,0,0.0,0,0,0,0,0,0,1,0
wYALykLb5oY,1,0.03588816892436019,0,0,0,0,0,0,1,0
8ye7Vh-_b50,0,0.0,0,0,0,0,1,0,0,0
2HbqRMhLmxE,3,0.030369428614287448,0,0,0,0,1,0,0,0
ZRuSS0iiFyo,6,0.06453665047187314,0,0,0,0,1,0,0,0
Bhos_P4a-JQ,2,0.06765930829199482,0,0,1,0,0,0,0,0
2HBmrx__Ock,1,0.14976750183430745,0,0,0,0,0,1,0,0
ty4PhRWt1hU,3,0.0060857029549111355,0,0,0,1,0,0,0,0
PcS4rEE8dIU,3,0.03848085080752753,0,0,0,0,1,0,0,0
CaNDeyYP98A,0,0.0,0,0,0,0,1,0,0,0
lBMAdwBLYgs,1,0.00994207478169604,0,0,0,0,1,0,0,0
oTZ84U-K_5k,0,0.0,0,0,1,0,0,0,0,0
3aQRO29ZzbE,0,0.0,0,0,0,1,0,0,0,0
DMu9Bna2PDk,1,0.010729572234878712,0,0,0,1,0,0,0,0
ohwbklm3w_E,0,0.0,0,0,0,0,0,0,1,0
EgI_KAkSyCw,1,0.070992417907637,0,0,0,0,0,0,1,0
lRt56Y9JMEg,0,0.0,0,0,0,1,0,0,0,0
JWdTvyy6-mU,0,0.0,0,0,0,0,0,0,1,0
iXwfBJYCTc4,2,0.0016493835523154607,0,0,1,0,0,0,0,0
8Vj9avZxuwI,0,0.0,0,0,0,0,1,0,0,0
-qv7k2_lc0M,1,0.20430361087596996,0,0,1,0,0,0,0,0
LHx63zUMLpM,1,0.06251742798167167,0,0,0,0,1,0,0,0
rA1Kjvxu28w,1,0.03377765944216763,0,0,0,1,0,0,0,0
bqgVB6Vl-lI,2,0.25059999918558434,1,0,0,0,0,0,0,0
S_doxRtYd8o,1,0.06035726612498971,0,0,0,1,0,0,0,0
s36hrId0rOo,0,0.0,0,0,0,0,0,1,0,0
HnE60IVm51E,0,0.0,0,0,0,0,1,0,0,0
jItnCGRsMjw,0,0.0,0,0,0,1,0,0,0,0
IkWxMG-JDk4,1,0.14900160744403365,0,0,0,0,1,0,0,0
G_ZxvxtUwus,0,0.0,0,0,0,1,0,0,0,0
1Q4MKOW8FZk,1,0.15239121522050583,0,0,1,0,0,0,0,0
6oY8HIWBS-Y,0,0.0,0,0,1,0,0,0,0,0
AeZ6a1A0-ow,4,0.07377042282535475,1,0,0,0,0,0,0,0
CkGVMWK10qU,0,0.0,0,0,0,0,0,0,1,0
KZHiIVMIbF4,3,0.07947990933347077,0,0,0,0,1,0,0,0
YycAzdtUIko,0,0.0,0,0,0,0,0,0,1,0
iLIAMt0wXzQ,1,0.03154173657563256,0,0,1,0,0,0,0,0
O5BJVO3PDeQ,3,0.1858824289234902,0,0,0,1,0,0,0,0
ciW3cGluA10,1,0.27073937963122036,0,0,1,0,0,0,0,0
ziUMJB3id8I,0,0.0,0,0,0,0,1,0,0,0
lz7UgBP-m7w,3,0.19640050752609467,0,0,0,0,0,1,0,0
cPouwOKMS2s,1,0.13515244150625627,0,0,1,0,0,0,0,0
qWAagS_MANg,4,0.0013546589258011308,0,0,0,0,0,0,1,0
JNvpcGV1frQ,4,0.08823835611404371,0,0,0,1,0,0,0,0
Za6WWHSWAM4,2,0.0011232680174561615,0,0,0,0,1,0,0,0
3aZuj_SDqDo,2,0.11507186370945621,0,0,0,0,0,1,0,0
eHSvv8eSsvc,3,0.042162537071100514,1,0,0,0,0,0,0,0
s6dMWzZKjTs,2,0.0456331776550764,0,0,0,0,0,1,0,0
YXy3emGbxHg,0,0.0,0,0,0,0,0,0,1,0
sZs4NDC4yrI,2,0.05899844654842228,0,0,0,1,0,0,0,0
_RKYQdUUttc,0,0.0,0,0,1,0,0,0,0,0
hLrFyjGZ9NU,0,0.0,0,0,0,0,0,0,1,0
iiADhChRriM,0,0.0,0,0,0,0,0,0,1,0
KoihlAl7ugQ,1,0.13413195956459187,0,0,0,0,0,0,1,0
vac6mJE8rqo,1,0.0011245811381013482,0,0,0,1,0,0,0,0
YfBVm1hh5cM,1,0.14375955677608848,0,0,0,0,1,0,0,0
IKyaNyYS5Is,0,0.0,0,0,1,0,0,0,0,0
6wsFjjhZPJI,3,0.008952460547233285,0,0,0,0,0,0,1,0
