Id,num_faces,largest_face_area_ratio,dominant_emotion
9i4SKHbhbqk,1,0.007277609434091197,sad
VjzgbZL12VI,0,0.0,neutral
-wmfpoq_Y0E,2,0.07333191088680084,fear
yWO-cvGETRQ,0,0.0,neutral
Sx6dAx7dnXg,0,0.0,fear
rP86Bby9Y9M,2,0.0801712441014307,angry
In0nB0ABaUk,0,0.0,happy
HLedllETYD4,1,0.002237157385889077,angry
xflY5uS-nnw,0,0.0,
895AKrvz_AI,1,0.00046913480042146854,neutral
ZqNDkSqL4TA,0,0.0,sad
J5HtSy5bATk,0,0.0,sad
tsxmyL7TUJg,2,0.04888074285100932,fear
vw9zyxm860Q,2,0.1869557207589979,fear
-E_TWPCkqy4,0,0.0,fear
fvu5FxKuqdQ,0,0.0,fear
iBy6XRHPODQ,2,0.07633258733687386,fear
02eN2a85Q9U,0,0.0,
59v360lNqgQ,0,0.0,happy
18oAkxwYQh0,1,0.08560720569444787,fear
kZC12U6EhTc,2,0.061036852083132344,sad
7uG9PGqaWeo,4,0.034179221317732655,fear
l6oF3_x4WQs,1,0.029389791509629504,happy
dzKWfw68M5U,0,0.0,fear
u8cg5hhHJlA,20,0.0038056986988880856,angry
lT3vGaOLWqE,2,0.07066166139765603,angry
smkyorC5qwc,2,0.004768152983106119,fear
TJvHHgGerJg,3,0.10265142793591722,neutral
VuP6I0mOb1s,0,0.0,
ytbyFzOt320,0,0.0,
sM82m4NpdmM,2,0.04746017882691149,sad
rZizVUKe4sQ,1,0.0019479008212677702,sad
7JBCHECtS58,0,0.0,neutral
LQsjNmkqUOc,1,0.060759046033846166,happy
fTgm36y884c,0,0.0,angry
s6mMvBeEPT4,2,0.03311430489139942,disgust
q9ZcPtvTKpY,0,0.0,angry
w1DABg8pSMY,1,0.07857084348824578,neutral
_6Yr7tseOi8,0,0.0,
6R8n6FbXVc8,3,0.45196798746852435,surprise
4G6Y6glM_hg,2,0.12263752297280288,happy
j_pC0-Jfsq0,3,0.0200806841731618,happy
k_tQk25pR60,0,0.0,
_8Nb_zgWZZ4,1,0.054804943374803974,neutral
LdZaqnAOthE,1,0.010745410087078603,happy
j9n5rlgnbjI,1,0.04761225139201997,neutral
lMbseuQR2G8,1,0.15504371687989582,neutral
ZiWlthrtneU,0,0.0,happy
8ORLN_KwAgs,0,0.0,fear
WUvTyaaNkzM,0,0.0,fear
7TN09IP5JuI,0,0.0,
ipRvjS7q1DI,1,0.019089569583411504,neutral
QHPvke8RCQU,0,0.0,
kJcpTSNWXdQ,3,0.25815491049159794,happy
sVEY5AL5zzk,1,0.28587062539693464,sad
-ybiXR2WCFQ,0,0.0,happy
Uhhw6Jw295o,1,0.32939035689825685,fear
icLK1J0n9I0,1,0.05789403965340575,happy
Z5FoX3ju2J0,2,0.20693825298782265,angry
ZMByI4s-D-Y,2,0.06711466402924998,sad
cuHDQhDhvPE,0,0.0,fear
pZo0r45xxC0,1,0.15088819168340806,sad
9vncG0IP9qU,2,0.0057423090165937335,sad
4timuAnUnG4,1,0.06232761010514878,sad
b9bUUHsn-Pc,3,0.02560682457846623,sad
kvCHcrzLL8I,1,0.1648602289370481,angry
KePNhUJ2reI,0,0.0,happy
kFEka86Lrrc,1,0.03739172078991411,neutral
PeACT6GHBh8,0,0.0,sad
dPIaEWd8zf4,2,0.0013975412831253682,fear
CiRBQ3frG6U,0,0.0,happy
pv8s9dGQ0l4,3,0.21322191159820686,fear
zFk_JjsTMKc,1,0.12504851878294176,happy
_r9Ndb6N_y0,0,0.0,sad
8pD7MXQfdqU,2,0.04740806244549832,sad
GNlQjzje2gw,6,0.05590519098868173,sad
_BL1y6v974Y,2,0.01916085508256439,fear
puMYeBRTsHs,0,0.0,surprise
Xnaj9ULhwqU,0,0.0,
6Ock5HVWPlk,2,0.030414648910034935,happy
cZFhjMQrVts,2,0.18767877342819803,neutral
d5Eewda7Xsk,0,0.0,
icwENiwT1zI,2,0.07853821494813473,neutral
spUNpyF58BY,0,0.0,fear
sI7E8J1sGvw,0,0.0,angry
UzEyHb4mvkk,0,0.0,
VpNX324owaQ,0,0.0,happy
ClzJkv3dpY8,1,0.09149011462829397,happy
ZVPsNDonA84,0,0.0,fear
1GfuKF4uENc,0,0.0,angry
F2xv4fba65U,2,0.12346487066625438,happy
KUqg8XtAHnc,0,0.0,angry
BHdezYIgLDE,2,0.04843435681512347,happy
UCq_cDPeY1k,2,0.0027911794944510703,neutral
jA-DBKQsHp0,7,0.07388530721749854,neutral
FDng_dnHKFg,0,0.0,sad
Qhaz36TZG5Y,0,0.0,fear
C2EfChhlEYo,0,0.0,sad
mgCMRai9K8I,2,0.08609656196714342,sad
Dd7dQh8u4Hc,1,0.1445132602568012,angry
84sHN6_MyMo,0,0.0,sad
FbPE8AtkkC8,0,0.0,
nNmRDRfnX6U,0,0.0,angry
GRo32Ug22HY,3,0.14606592223606676,fear
aO3JgPUJ6iQ,2,0.0676851669426181,neutral
s5Ma_9dTtZQ,0,0.0,
2OSrvzNW9FE,0,0.0,fear
BriBDiBxaMY,1,0.03698002587884174,happy
P69xdkqBJno,2,0.04116979520262046,angry
UPS4nxI0b9g,2,0.012437276804916514,happy
GcdB5bFwio4,0,0.0,sad
_RlxCc0M6Ko,1,0.037351205338516394,angry
fx9-cMoEv7k,1,0.040340202414986884,sad
ePN1J_c4ulw,1,0.2290620457766936,happy
NRjKjgdjCXI,1,0.0002838133100643366,surprise
-UdWguw90g4,2,0.03643712093482615,fear
DZ9wk6aVjT0,1,0.07206755378114091,neutral
eWISIF0k8Mc,5,0.09210565278792274,sad
IoaIQSIHuQs,2,0.1949895105611035,surprise
BqLH-nTZEOc,1,0.039846477343211416,neutral
HGzlV4ggudM,0,0.0,happy
Jl0IDXkYKbk,2,0.044534288288101985,happy
0txXeFdn1PM,0,0.0,happy
P_aDQDtcd-8,0,0.0,surprise
lA77zsJ31nA,1,0.041841050552450014,happy
CwF8DYf5dDc,0,0.0,neutral
AYA9twQXBq8,0,0.0,sad
VR0xCO7BFgo,1,0.0613803298552941,happy
_uBH-oZwceE,1,0.02263635897366233,happy
PGqZkOveLb8,1,0.018881104114657824,happy
2Sj2fd6b_Cg,2,0.021431333209815825,sad
gWVHses2GCY,2,0.1440708835300499,happy
xjW-isgOijs,1,0.052338113526735064,neutral
4x04M8YwOBw,0,0.0,neutral
aJukS3HjYWY,1,0.022849828181147638,angry
RYSvCb14JjU,3,0.04329778762901494,angry
2oysDxhHEEk,1,0.15980779291105213,neutral
l0IefQRFVfE,1,0.04100620715233112,fear
p6OkpHNtvE4,0,0.0,sad
v191Y8AUk6w,1,0.01583711015488916,fear
UNbgIxL3PyM,3,0.12541471208592858,sad
XCuz0pqBKb0,0,0.0,sad
Viz-GXRBj0E,0,0.0,sad
kjyeCdd-dl8,0,0.0,sad
2fCi1R06oQ8,0,0.0,
